	0.0
hour	0.00020455035242885103
zaragoza	0.1383921770911063
snatcher	0.14107229012428724
henryk	0.02717973376683582
turkana	0.14003589972011057
hess	0.11498756781820586
aichi	0.11632208023333593
einstein	0.00010226313345075328
walgreens	0.6969976354341731
mitsuteru	0.030896658380945432
stevan	0.17495095350050296
darth	0.5099618889439232
evelyn	0.009475641268522251
jiao	1.1171247604776706
albrecht	0.019911338322033987
nagle	0.030896658380945432
michelin	0.00694006425132498
richardson	0.008362332686334977
hari	0.18825755342564043
byzantines	0.04156654681530501
machiko	0.07492129475743724
hradec	0.3514248171813205
clive	0.06789079717793257
university	0.0017075373176479829
topsy	0.3311587999935037
chennai	0.16322954772370937
strathclyde	0.01399283483806211
hydroxide	0.017598132433381555
nagasaki	0.04453976039241098
soundtrack	0.016463833435574737
weick	0.34670417850873614
romania	0.009859001185958739
herbert	0.0007846334237315082
walt	0.014380204764488928
venue	0.06266208830583204
peña	0.20193052078184887
lumière	0.12755971307202874
rotten	0.0621898579419032
tabulating	0.3081779060460516
main	0.0007846334237315082
gloucester	0.13284960163854984
aviator	1.5020932281258403
mausoleum	0.06511015896456634
flextronics	0.0773581915388152
yoshiyuki	0.8308488051956437
kinect	0.06238655819523319
communists	0.11321457298217202
keill	0.39090784100078957
k	0.0012287497467795973
foster	0.00023865144638868891
avignon	0.17653457331542555
hyperactivity	0.0642003928789942
abc	0.03449803789682425
mo	0.1147655472204032
benayoun	0.31417885715419724
neo	0.004970471388420564
mauss	0.009649853827279835
weinstein	0.2686603259053736
test	0.00017045193589939058
judy	0.02826964854810403
landed	0.0010920501920144237
1843	0.028342406879971874
structured	0.005936874512559551
tank	0.002803895064686367
bobby	0.009719558422871862
mca	0.3448151173228106
blumer	0.003799865607173383
aviation	0.0064900719212046985
quick	0.0016391067680850107
older	0.0019471291882730802
worlds	0.0009212362342949334
grantham	0.3307206350174731
schaffer	0.05532216507252467
shenker	0.11931738062245521
lucien	0.20252778777614555
yerkes	0.32948156290192465
suis	0.152735752882999
schengen	0.012446801069136459
polystyrene	0.013535479028874104
zeno	0.03958320723106
yabloko	0.32629087277740587
bashir	0.5963040746959898
itō	0.8976032333570612
dural	1.9349758853510652
averroës	0.1688746811482782
autodidactus	0.36243394227685705
andreae	0.010207804097570872
peddle	0.14159141426117924
scandinavian	0.07040868509018583
tories	0.08247940650925317
protocol	0.005764144731853959
artillery	0.005211870638160052
tourette	0.16070557975404157
markets	0.0008870815032873488
framed	0.009197046450595145
phenomenology	0.01706606088167033
dock	0.021842492856371888
schmidhuber	0.004040614880677525
hao	0.01717242305581797
koopmans	0.5280906159184976
texaco	0.35899272902582435
kanerva	1.0437851216588294
lubbock	0.30880204193584815
hack	0.00010226313345075328
correspondent	0.03276711844212954
bait	0.7380681122113419
collins	0.009649853827279835
lukyanenko	1.5405715364939332
coal	0.000682209505509041
savior	0.08075193304685564
stile	0.3204777060820177
bucurești	0.07105047995257005
rig	0.2036158366526654
blackstone	0.013113731501771933
alastair	0.14595765061508384
satirist	0.3189832049562424
ant	0.0030097706228926226
beebe	0.2255111041064454
profit	0.006420883697081347
danube	0.13909586800699
store	0.0017075373176479829
6	0.0010920501920144237
yoko	0.45678000646350014
carnot	0.027797016274699042
titanium	3.408503568071274e-05
khayyam	0.04152904135460527
landauer	0.03446113790258795
composition	0.0005798097372262339
avicennian	0.11752665761571675
vw	0.03184921963084489
experience	0.00023865144638868891
slattery	0.31165673337786687
manmohan	0.5003638301933869
abano	0.019376426957572267
waldegrave	0.12994368538981627
zoltán	0.009719558422871862
theater	0.021090467591574298
georgios	0.15535989670914782
gemini	0.03835285761625116
symphony	0.0348672103790196
cardia	0.474403082917972
federico	0.111713197578957
lsd	0.1702344492923679
016	0.1562869905004745
advocate	0.007980291052602694
winteler	0.003044092706278952
bysshe	0.05404647606032399
musicbrainz	0.7281135583995665
abbott	0.11623298504748582
alcibiades	0.10359040939998444
papua	0.01125589683190944
mcdonald	0.013113731501771933
higham	0.3868189589163671
chavez	0.2915232088648778
natriuretic	0.6816640810132871
5th	0.009510478190042792
hunter	0.02776068124168032
un	0.013887248432443752
lemhi	0.05285150535664773
teller	0.010941203340652857
eiffel	0.3626695663798806
fausto	0.06749247147643034
jets	0.04871387666692223
cabibbo	0.2233396271730113
workers	0.007459866206739287
ashkelon	0.05146791114671343
pitcher	0.2915232088648778
espn	0.06333196152237341
operation	0.00044331425974435004
baron	0.02044690933811735
rodney	0.014908993922600314
argyris	0.08157368254822914
wigglesworth	0.2778683276921974
für	0.01427452415029101
fromm	0.152396744070321
mel	0.049515334262446586
candidate	0.0009212362342949334
physical	0.0008187800984279099
1962	0.0015364811565082006
